file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\????\q138_??????????\f1\Node.java,é.Node,Node/1[int],true,8,0,1,1,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,false
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\hash??\q1_????\f1\Solution.java,hashç.Solution,"twoSum/2[int[],int]",false,7,1,0,0,0,4,0,13,2,3,2,0,0,0,2,1,0,0,0,5,5,2,3,0,0,0,7,1,0,false
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???????\q450_???????????\Solution.java,äºŒå.Solution,removeMax/1[äºŒå.TreeNode],false,45,2,3,2,1,2,1,7,2,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,6,2,0,true
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???????\q450_???????????\Solution.java,äºŒå.Solution,"deleteNode/2[äºŒå.TreeNode,int]",false,7,2,6,2,4,6,3,26,6,2,2,3,3,1,0,3,0,0,0,0,8,0,1,0,0,0,11,1,0,false
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???????\q450_???????????\Solution.java,äºŒå.Solution,maximum/1[äºŒå.TreeNode],false,53,2,3,2,1,2,1,6,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,false
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???????\q450_???????????\Solution.java,äºŒå.Solution,main/1[java.lang.String[]],false,60,2,3,0,3,1,1,6,0,2,1,1,1,2,0,0,0,0,0,3,3,0,0,0,0,0,7,9,0,false
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\??????\q141_????\f1\ListNode.java,å.ListNode,ListNode/1[int],true,8,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q232_??????\f2\MyQueue.java,MyQueue,pop/0,false,28,0,0,0,0,3,3,8,1,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,12,1,0,true
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q232_??????\f2\MyQueue.java,MyQueue,empty/0,false,46,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\code\java-repos-evaluation\cloned_repos\yuanguangxin\LeetCode\src\???\q232_??????\f2\MyQueue.java,MyQueue,MyQueue/0,true,15,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
